T9 	0	5425	10850	16275	      0.00	      0.33	      0.67
T4s	0	1550	3100	4650	      0.00	      0.33	      0.67
98 	0	7750	15500	23250	      0.00	      0.33	      0.67
32s	0	1550	3100	4650	      0.00	      0.33	      0.67
K8 	0	6200	10850	17050	      0.00	      0.36	      0.64
J2s	0	3100	5425	8525	      0.00	      0.36	      0.64
T3s	0	3100	5425	8525	      0.00	      0.36	      0.64
K7 	0	5425	9300	14725	      0.00	      0.37	      0.63
A6 	0	7750	13175	20925	      0.00	      0.37	      0.63
95 	0	7750	12400	20150	      0.00	      0.38	      0.62
97 	0	6975	10850	17825	      0.00	      0.39	      0.61
Q2s	0	3100	4650	7750	      0.00	      0.40	      0.60
J4s	0	1550	2325	3875	      0.00	      0.40	      0.60
22 	0	3100	4650	7750	      0.00	      0.40	      0.60
K4 	0	7750	10850	18600	      0.00	      0.42	      0.58
Q3 	0	6200	8525	14725	      0.00	      0.42	      0.58
J7 	0	8525	11625	20150	      0.00	      0.42	      0.58
T6 	0	8525	10850	19375	      0.00	      0.44	      0.56
54 	0	9300	11625	20925	      0.00	      0.44	      0.56
Q5 	0	10075	12400	22475	      0.00	      0.45	      0.55
J3 	0	7750	9300	17050	      0.00	      0.45	      0.55
T5s	0	3875	4650	8525	      0.00	      0.45	      0.55
74s	0	4650	5425	10075	      0.00	      0.46	      0.54
A4 	0	11625	13175	24800	      0.00	      0.47	      0.53
Q6 	0	10850	11625	22475	      0.00	      0.48	      0.52
96 	0	13950	14725	28675	      0.00	      0.49	      0.51
A3s	0	3875	3875	7750	      0.00	      0.50	      0.50
A2s	0	1550	1550	3100	      0.00	      0.50	      0.50
K3s	0	3100	3100	6200	      0.00	      0.50	      0.50
J6s	0	3875	3875	7750	      0.00	      0.50	      0.50
T5 	0	9300	9300	18600	      0.00	      0.50	      0.50
75 	0	10850	10850	21700	      0.00	      0.50	      0.50
73s	0	3100	3100	6200	      0.00	      0.50	      0.50
K2 	0	14725	13950	28675	      0.00	      0.51	      0.49
A3 	0	10850	10075	20925	      0.00	      0.52	      0.48
J4 	0	9300	8525	17825	      0.00	      0.52	      0.48
87 	0	7750	6975	14725	      0.00	      0.53	      0.47
Q4 	0	10850	9300	20150	      0.00	      0.54	      0.46
86 	0	12400	10075	22475	      0.00	      0.55	      0.45
K2s	0	3875	3100	6975	      0.00	      0.56	      0.44
Q2 	0	7750	6200	13950	      0.00	      0.56	      0.44
T7 	0	10850	8525	19375	      0.00	      0.56	      0.44
K3 	0	9300	6975	16275	      0.00	      0.57	      0.43
82s	0	3100	2325	5425	      0.00	      0.57	      0.43
J3s	0	2325	1550	3875	      0.00	      0.60	      0.40
92s	0	2325	1550	3875	      0.00	      0.60	      0.40
J5 	0	11625	6975	18600	      0.00	      0.63	      0.38
85 	0	10075	5425	15500	      0.00	      0.65	      0.35
84s	0	4650	2325	6975	      0.00	      0.67	      0.33
83s	0	1550	775	2325	      0.00	      0.67	      0.33
T2s	0	2325	775	3100	      0.00	      0.75	      0.25
72s	0	3100	775	3875	      0.00	      0.80	      0.20
42s	0	4650	775	5425	      0.00	      0.86	      0.14
52s	0	3875	0	3875	      0.00	      1.00	      0.00
T4 	775	10075	5425	16275	      0.05	      0.62	      0.33
43 	6975	10850	0	17825	      0.39	      0.61	      0.00
94 	7750	9300	0	17050	      0.45	      0.55	      0.00
93 	11625	11625	0	23250	      0.50	      0.50	      0.00
53 	10075	10075	0	20150	      0.50	      0.50	      0.00
J2 	13175	12400	0	25575	      0.52	      0.48	      0.00
T3 	8525	7750	0	16275	      0.52	      0.48	      0.00
84 	10850	7750	0	18600	      0.58	      0.42	      0.00
63 	13175	7750	0	20925	      0.63	      0.37	      0.00
73 	12400	5425	0	17825	      0.70	      0.30	      0.00
T2 	13175	5425	0	18600	      0.71	      0.29	      0.00
74 	18600	5425	0	24025	      0.77	      0.23	      0.00
92 	14725	3875	0	18600	      0.79	      0.21	      0.00
83 	13950	0	0	13950	      1.00	      0.00	      0.00
82 	18600	0	0	18600	      1.00	      0.00	      0.00
72 	21700	0	0	21700	      1.00	      0.00	      0.00
62 	22475	0	0	22475	      1.00	      0.00	      0.00
52 	17825	0	0	17825	      1.00	      0.00	      0.00
42 	17825	0	0	17825	      1.00	      0.00	      0.00
32 	23250	0	0	23250	      1.00	      0.00	      0.00
