Q4 	0	6546	13503	20049	      0.00	      0.33	      0.67
96s	0	2303	4740	7043	      0.00	      0.33	      0.67
43s	0	2226	4558	6784	      0.00	      0.33	      0.67
J7 	0	6786	13840	20626	      0.00	      0.33	      0.67
J3s	0	2446	4721	7167	      0.00	      0.34	      0.66
86 	0	6977	13379	20356	      0.00	      0.34	      0.66
J8s	0	2412	4541	6953	      0.00	      0.35	      0.65
A4 	0	7108	13360	20468	      0.00	      0.35	      0.65
Q5 	0	6982	13080	20062	      0.00	      0.35	      0.65
65 	0	7386	13371	20757	      0.00	      0.36	      0.64
T6 	0	7418	13059	20477	      0.00	      0.36	      0.64
T7 	0	7603	13066	20669	      0.00	      0.37	      0.63
75 	0	7553	12464	20017	      0.00	      0.38	      0.62
Q8 	0	7850	12821	20671	      0.00	      0.38	      0.62
J7s	0	2776	4290	7066	      0.00	      0.39	      0.61
A3 	0	8071	12352	20423	      0.00	      0.40	      0.60
A2s	0	2767	4140	6907	      0.00	      0.40	      0.60
74s	0	2682	4007	6689	      0.00	      0.40	      0.60
T2s	0	2777	4144	6921	      0.00	      0.40	      0.60
63s	0	2769	4073	6842	      0.00	      0.40	      0.60
93s	0	2873	4202	7075	      0.00	      0.41	      0.59
J2s	0	2823	4117	6940	      0.00	      0.41	      0.59
K3s	0	2764	4027	6791	      0.00	      0.41	      0.59
42s	0	2907	4219	7126	      0.00	      0.41	      0.59
K2s	0	2808	4045	6853	      0.00	      0.41	      0.59
J6s	0	2809	4039	6848	      0.00	      0.41	      0.59
Q4s	0	2798	3993	6791	      0.00	      0.41	      0.59
Q3s	0	2798	3944	6742	      0.00	      0.42	      0.58
J4 	0	8524	11925	20449	      0.00	      0.42	      0.58
73s	0	2873	3948	6821	      0.00	      0.42	      0.58
T5s	0	2892	3974	6866	      0.00	      0.42	      0.58
94s	0	2883	3877	6760	      0.00	      0.43	      0.57
J5 	0	9078	11881	20959	      0.00	      0.43	      0.57
96 	0	8884	11611	20495	      0.00	      0.43	      0.57
K4 	0	9110	11769	20879	      0.00	      0.44	      0.56
64 	0	9142	11776	20918	      0.00	      0.44	      0.56
32s	0	3077	3939	7016	      0.00	      0.44	      0.56
A2 	0	9087	11543	20630	      0.00	      0.44	      0.56
92s	0	3110	3946	7056	      0.00	      0.44	      0.56
Q2s	0	2925	3703	6628	      0.00	      0.44	      0.56
Q3 	0	9081	11312	20393	      0.00	      0.45	      0.55
85 	0	9193	11396	20589	      0.00	      0.45	      0.55
72s	0	3074	3795	6869	      0.00	      0.45	      0.55
K3 	0	9299	11351	20650	      0.00	      0.45	      0.55
J6 	0	9534	11624	21158	      0.00	      0.45	      0.55
52s	0	2976	3626	6602	      0.00	      0.45	      0.55
K2 	0	9261	11277	20538	      0.00	      0.45	      0.55
95 	0	9167	11123	20290	      0.00	      0.45	      0.55
T5 	0	9313	11292	20605	      0.00	      0.45	      0.55
62s	0	3266	3924	7190	      0.00	      0.45	      0.55
J3 	0	9540	11108	20648	      0.00	      0.46	      0.54
82s	0	3174	3681	6855	      0.00	      0.46	      0.54
83s	0	3252	3599	6851	      0.00	      0.47	      0.53
Q2 	0	10037	10995	21032	      0.00	      0.48	      0.52
T4 	0	10100	11011	21111	      0.00	      0.48	      0.52
74 	10492	9565	766	20823	      0.50	      0.46	      0.04
43 	11174	9715	421	21310	      0.52	      0.46	      0.02
53 	10838	9416	406	20660	      0.52	      0.46	      0.02
93 	11261	9987	0	21248	      0.53	      0.47	      0.00
63 	11221	9870	0	21091	      0.53	      0.47	      0.00
T3 	11190	9681	0	20871	      0.54	      0.46	      0.00
94 	10996	9283	0	20279	      0.54	      0.46	      0.00
84 	11358	9532	0	20890	      0.54	      0.46	      0.00
T2 	11281	9380	0	20661	      0.55	      0.45	      0.00
